Age,MaritalStatus,Dependents,Education,ResidenceYears,CreditRating,LatePayments2Y,CurrentDebt,ActiveLoans,MaxOverdue1Y,WasBankrupt,DebtVSIncome,MonthlyPayments,MoneyPaidSubscription,Collateral,CreditVSCollateral,MonthlyIncome,JobType,JobExperience,AdditionalIncome,BankRelationshipYears,AverageBalance,CreditCardUsage,CheckCreditHistory,LoanPurpose,HasGuarantor,Region,EarlyRepayments,HasCriminalRecord,NumberKids,Default
61.00,1.00,1.00,1.00,4.00,828.00,7.00,1619692.00,4.00,28.00,1.00,0.64,63830.00,1648.00,0.00,0.22,89653.00,1.00,9.00,2609.00,2.00,314584.00,7.00,4.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00
58.00,2.00,0.00,3.00,10.00,728.00,5.00,661437.00,1.00,57.00,0.00,0.48,5384.00,803.00,0.00,0.24,120495.00,0.00,4.00,45551.00,13.00,254711.00,14.00,0.00,2.00,0.00,0.00,1.00,0.00,6.00,0.00
65.00,3.00,3.00,1.00,10.00,811.00,7.00,354312.00,4.00,77.00,1.00,0.24,42860.00,1863.00,1.00,0.42,146742.00,2.00,10.00,46816.00,6.00,323841.00,2.00,5.00,1.00,0.00,0.00,1.00,0.00,3.00,0.00
48.00,3.00,1.00,1.00,3.00,410.00,6.00,1350597.00,5.00,65.00,0.00,0.63,56454.00,832.00,0.00,0.04,240878.00,2.00,6.00,4115.00,9.00,112279.00,15.00,4.00,1.00,0.00,3.00,0.00,0.00,9.00,0.00
29.00,2.00,2.00,1.00,5.00,536.00,3.00,932019.00,5.00,35.00,1.00,0.24,65937.00,1594.00,0.00,0.56,263990.00,0.00,1.00,30769.00,9.00,74088.00,13.00,4.00,1.00,0.00,3.00,0.00,0.00,8.00,0.00
40.00,3.00,1.00,2.00,9.00,813.00,4.00,151132.00,5.00,45.00,1.00,0.66,45723.00,1377.00,0.00,0.41,107820.00,3.00,7.00,16062.00,4.00,380270.00,19.00,3.00,1.00,0.00,2.00,0.00,0.00,9.00,1.00
68.00,3.00,3.00,2.00,3.00,433.00,1.00,159148.00,4.00,88.00,1.00,0.07,77913.00,1939.00,0.00,0.57,142152.00,1.00,5.00,41827.00,6.00,415944.00,11.00,5.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00
56.00,2.00,3.00,2.00,5.00,587.00,7.00,992597.00,1.00,62.00,0.00,0.05,54296.00,1846.00,0.00,0.60,38640.00,3.00,3.00,37273.00,13.00,159804.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,9.00,0.00
63.00,3.00,0.00,0.00,2.00,798.00,8.00,1413708.00,3.00,44.00,0.00,0.34,42255.00,1227.00,0.00,0.42,115550.00,1.00,5.00,7278.00,2.00,202921.00,1.00,2.00,0.00,1.00,2.00,0.00,0.00,4.00,0.00
50.00,2.00,1.00,3.00,4.00,698.00,7.00,1594421.00,2.00,66.00,0.00,0.06,27223.00,126.00,0.00,0.85,89253.00,1.00,0.00,23540.00,1.00,131788.00,13.00,0.00,0.00,0.00,4.00,1.00,0.00,1.00,0.00
70.00,3.00,2.00,0.00,5.00,489.00,4.00,1514975.00,2.00,12.00,0.00,0.13,91654.00,1226.00,0.00,0.01,614.00,2.00,3.00,15538.00,1.00,343820.00,1.00,2.00,2.00,0.00,4.00,0.00,0.00,5.00,0.00
23.00,3.00,0.00,0.00,6.00,401.00,4.00,1733100.00,0.00,67.00,0.00,0.13,71010.00,63.00,0.00,0.85,162862.00,1.00,0.00,15216.00,4.00,433171.00,1.00,5.00,2.00,1.00,0.00,1.00,0.00,5.00,0.00
56.00,3.00,3.00,3.00,10.00,357.00,3.00,1022855.00,2.00,69.00,0.00,0.64,17381.00,1844.00,1.00,0.01,163495.00,2.00,10.00,17719.00,5.00,207947.00,2.00,3.00,0.00,1.00,1.00,0.00,1.00,6.00,0.00
35.00,2.00,3.00,1.00,8.00,748.00,5.00,182911.00,1.00,72.00,0.00,0.12,94128.00,1478.00,0.00,0.54,6902.00,3.00,1.00,742.00,9.00,46097.00,7.00,1.00,2.00,1.00,3.00,0.00,0.00,6.00,0.00
